"ID","Origin","Species"
"1","Spain","carinata"
"2","Spain","carinata"
"3","Spain","carinata"
"4","Spain","carinata"
"5","Zambia","carinata"
"6","Sweden","carinata"
"7","Tanzania","carinata"
"8","Kenya","carinata"
"9","Turkey","deflexa"
"10","Iran","deflexa"
"11","France","fruticulosa"
"12","Algeria","fruticulosa"
"13","Algeria","fruticulosa"
"14","Algeria","gravinae"
"15","Algeria","gravinae"
"16","Algeria","gravinae"
"17","Algeria","maurorum"
"18","Portugal","oxyrrhina"
"19","Taiwan","rapa"
"20","Japan","rapa"
"21","South Korea","rapa"
"22","China","rapa"
"23","China","rapa"
"24","China","rapa"
"25","China","rapa"
"26","China","rapa"
"27","China","rapa"
"28","China","rapa"
"29","Sweden","rapa"
"30","Cuba","rapa"
"31","Egypt","rapa"
"32","India","rapa"
"33","Spain","rapa"
"34","Nepal","rapa"
"35","Australia","rapa"
"36","Japan","rapa"
"37","China","rapa"
"38","China","rapa"
"39","China","rapa"
"40","China","rapa"
"41","China","rapa"
"42","China","rapa"
"43","China","rapa"
"44","China","rapa"
"45","South Korea","rapa"
"46","South Korea","rapa"
"47","South Korea","rapa"
"48","South Korea","rapa"
"49","South Korea","rapa"
"50","South Korea","rapa"
"51","South Korea","rapa"
"52","South Korea","rapa"
"53","South Korea","rapa"
"54","South Korea","rapa"
"55","United States","oleracea"
"56","Portugal","oleracea"
"57","Spain","oleracea"
"58","United Kingdom","oleracea"
"59","Hungary","oleracea"
"60","Turkey","oleracea"
"61","Turkey","oleracea"
"62","Iran","oleracea"
"63","Iran","oleracea"
"64","Iran","oleracea"
"65","Brazil","oleracea"
"66","Taiwan","oleracea"
"67","Netherlands","oleracea"
"68","Yemen","oleracea"
"69","Italy","oleracea"
"70","South Korea","oleracea"
"71","United Kingdom","oleracea"
"72","Norway","oleracea"
"73","Kenya","oleracea"
"74","Kenya","oleracea"
"75","India","oleracea"
"76","Denmark","oleracea"
"77","Netherlands","oleracea"
"78","United Kingdom","oleracea"
"79","Egypt","oleracea"
"80","Egypt","oleracea"
"81","United States","oleracea"
"82","Spain","oleracea"
"83","United States","oleracea"
"84","Australia","oleracea"
"85","Puerto Rico","oleracea"
"86","Colombia","oleracea"
"87","Poland","oleracea"
"88","United Kingdom","oleracea"
"89","Russia","oleracea"
"90","Kazakhstan","oleracea"
"91","Spain","oleracea"
"92","Australia","oleracea"
"93","France","oleracea"
"94","United Kingdom","oleracea"
"95","Germany","oleracea"
"96","United Kingdom","oleracea"
"97","Canada","oleracea"
"98","Italy","oleracea"
"99","Iran","oleracea"
"100","Italy","oleracea"
"101","Italy","oleracea"
"102","Italy","oleracea"
"103","Taiwan","oleracea"
"104","United States","oleracea"
"105","United States","oleracea"
"106","Armenia","oleracea"
"107","Kazakhstan","oleracea"
"108","Taiwan","oleracea"
"109","Serbia","oleracea"
"110","China","oleracea"
"111","United Kingdom","oleracea"
"112","Hungary","oleracea"
"113","South Korea","oleracea"
"114","South Korea","oleracea"
"115","South Africa","oleracea"
"116","North Macedonia","oleracea"
"117","Japan","oleracea"
"118","Ethiopia","oleracea"
"119","Turkey","oleracea"
"120","Sweden","oleracea"
"121","Uzbekistan","oleracea"
"122","Kazakhstan","oleracea"
"123","Romania","oleracea"
"124","Ukraine","oleracea"
"125","Georgia","oleracea"
"126","Armenia","oleracea"
"127","Bulgaria","oleracea"
"128","China","oleracea"
"129","Czech Republic","oleracea"
"130","Japan","oleracea"
"131","Netherlands","oleracea"
"132","Norway","oleracea"
"133","Serbia","oleracea"
"134","South Africa","oleracea"
"135","Canada","oleracea"
"136","South Africa","oleracea"
"137","United States","oleracea"
"138","United States","oleracea"
"139","Israel","oleracea"
"140","Australia","oleracea"
"141","Scotland","oleracea"
"142","Netherlands","oleracea"
"143","Iran","oleracea"
"144","Turkey","oleracea"
"145","Afghanistan","oleracea"
"146","Turkey","oleracea"
"147","China","oleracea"
"148","China","oleracea"
"149","China","oleracea"
"150","Turkey","oleracea"
"151","Turkey","oleracea"
"152","Turkey","oleracea"
"153","Turkey","oleracea"
"154","Turkey","oleracea"
"155","Turkey","oleracea"
"156","China","juncea"
"157","South Korea","juncea"
"158","China","juncea"
"159","Bangladesh","juncea"
"160","Japan","juncea"
"161","United States","juncea"
"162","China","juncea"
"163","United States","juncea"
"164","Canada","juncea"
"165","China","juncea"
"166","Nepal","juncea"
"167","South Korea","juncea"
"168","India","juncea"
"169","Germany","juncea"
"170","-","juncea"
"171","China","juncea"
"172","China","juncea"
"173","Russia","juncea"
"174","Cuba","juncea"
"175","Russia","juncea"
"176","North Korea","juncea"
"177","Pakistan","juncea"
"178","United States","napus"
"179","United States","napus"
"180","United States","napus"
"181","United States","napus"
"182","Mongolia","napus"
"183","South Korea","napus"
"184","Poland","napus"
"185","Canada","napus"
"186","Tunisia","napus"
"187","Canada","napus"
"188","Pakistan","napus"
"189","China","napus"
"190","United States","napus"
"191","United States","napus"
"192","Canada","napus"
"193","Italy","napus"
"194","United States","napus"
"195","Poland","napus"
"196","Algeria","napus"
"197","Poland","napus"
